"Genus","Species","Brain_weight","Body_weight","log_brain-weight","EQ_Jerison","EQ_Stephan","Gen-distance","Comments"
"Alouatta","seniculus",49.4,4990,1.69,1.42,5.39,110,
"Alouatta","palliata",52.7,6896,1.72,1.22,4.69,110,
"Alouatta","villosa",65.5,7824,1.82,1.39,5.38,110,
"Aotus","trivirgatus",17.1,830,1.23,1.62,5.77,107,
"Ateles","geoffroyi",108.7,8082,2.04,2.26,8.75,113,
"Ateles","belzebuth",118.4,8890,2.07,2.31,8.98,113,
"Callicebus","moloch",18.4,785,1.26,1.81,6.44,103,
"Callicebus","cupreus",14,514,1.15,1.83,6.39,103,
"Callimico","goeldi",11,480,1.04,1.5,5.25,118,
"Callithrix","jacchus",7.7,233,0.89,1.7,5.79,119,
"Callithrix","geoffroyi",19.9,793,1.3,1.94,6.92,119,
"Cebuella","pygmaea",4.2,120,0.62,1.44,4.8,119,
"Cebus","albifrons",71,3100,1.85,2.8,10.45,106,
"Cebus","apella",69.5,2327,1.84,3.32,12.26,106,
"Cebus","capucinus",72.7,3354,1.86,2.72,10.19,106,
"Cercocebus","albigena",110,9200,2.04,2.1,8.16,106,
"Cercocebus","torquatus",140,8660,2.15,2.78,10.79,106,
"Cercocebus","galeritus",188.5,10700,2.28,3.26,12.72,106,
"Cercopithecus","mona",69.3,5300,1.84,1.91,7.28,120,
"Cercopithecus","ascanius",69.3,3950,1.84,2.32,8.76,120,
"Cercopithecus","mitis",74.4,6367,1.87,1.82,6.96,120,
"Cercopithecus","aethiops",66.7,4324,1.82,2.11,7.96,120,
"Cercopithecus","pygerythrus",72.6,5670,1.86,1.91,7.31,120,
"Cercopithecus","lhoesti",93,8500,1.97,1.87,7.25,120,
"Cercopithecus","hamlyni",72.2,6000,1.86,1.83,7.01,120,
"Colobus","badius",78,7000,1.89,1.79,6.87,66,
"Erythrocebus","patas",108,7800,2.03,2.3,8.89,123,
"Gorilla","gorilla",480.3,114654,2.68,1.71,7.27,86,
"Homo","sapiens",1306,57333,3.12,7.37,30.6,93,
"Hylobates","lar",99.7,5664,2,2.63,10.04,34,
"Hylobates","pileatus",103,5450,2.01,2.79,10.63,34,
"Hylobates","moloch",97.4,6228,1.99,2.41,9.24,34,
"Hylobates","agilis",87.5,7372,1.94,1.94,7.46,34,
"Lagothrix","lagothrica",101,5200,2,2.82,10.73,113,
"Macaca","mulatta",93.8,6652,1.97,2.22,8.54,101,
"Macaca","sinica",84,8392,1.92,1.71,6.6,101,
"Macaca","nemestrina",122,8610,2.09,2.43,9.44,101,
"Macaca","fascicularis",70.8,5060,1.85,2.01,7.66,101,
"Macaca","arctoides",100.7,7630,2,2.18,8.41,101,
"Mandrillus","sphinx",179,32000,2.25,1.49,6.06,,
"Miopithecus","talapoin",40,1200,1.6,2.97,10.71,120,
"Nasalis","larvatus",97,14000,1.99,1.4,5.52,77,
"Pan","paniscus",359.8,45400,2.56,2.37,9.76,93,"from Rilling NeuroReport 10, 1453-1459 (1999)"
"Pan","troglodytes",390,48893,2.59,2.45,10.1,93,
"Papio","anubis",211.5,30000,2.33,1.84,7.45,115,
"Papio","papio",193,21800,2.29,2.07,8.32,115,
"Papio","ursinus",181,24490,2.26,1.8,7.25,115,
"Papio","cynocephalus",194,20865,2.29,2.15,8.59,115,
"Papio","hamadryas",160.5,14010,2.21,2.32,9.14,115,
"Pithecia","monachus",35,1500,1.54,2.24,8.14,103,
"Pongo","pygmaeus",351.7,63730,2.55,1.85,7.71,52,
"Presbytus","entellus",199.4,21319,2.3,2.18,8.71,,
"Presbytus","cristatus",81.7,16500,1.91,1.06,4.2,,
"Presbytus","obscurus",64.7,7030,1.81,1.48,5.69,,
"Pygathrix","nemaeus",77,7500,1.89,1.68,6.5,77,
"Saguinas","midas",10.4,345,1.02,1.77,6.11,118,
"Saguinas","oedipus",9.7,383,0.99,1.54,5.33,118,
"Saguinas","tamarin",9.5,410,0.98,1.44,5,118,
"Saimiri","sciureus",24.2,648,1.38,2.7,9.55,107,
"Saimiri","oerstedii",24.2,753,1.38,2.45,8.69,107,
"Symphalangus","syndactylus",131.5,11117,2.12,2.21,8.66,,
